main_category,sub_category,raw_product_name,cleaned_product_name,product_url,brand,product_img_link
Eyes,Eyebrows,Fluff Up Brow Wax,Fluff Up Brow Wax,https://www.sephora.sg/products/benefit-cosmetics-fluff-up-brow-wax/v/default,Benefit Cosmetics,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_602004143815-Benefit-Cosmetics-Fluff-Up-Brow-Wax-6ml_c7bef274817469ce553d9a1db251d96cc5c6d46a_1672934038.png
Eyes,Eyebrows,Clear Brow Gel,Clear Brow Gel,https://www.sephora.sg/products/sephora-collection-clear-brow-gel/v/default,Sephora Collection,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_3378872136767-Sephora-Collection-Clear-Brow-Gel-5ml_147f98064746eb5576516f0bef4378733392b72b_1579839947.png
Eyes,Eyebrows,24-Hr Brow Setter Invisible Brow Gel,24-Hr Brow Setter Invisible Brow Gel,https://www.sephora.sg/products/benefit-cosmetics-24-hr-brow-setter-brow-gel/v/default,Benefit Cosmetics,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_28788_BenefitCosmetics_WEB_93d01abd022aaaff90a3d3f49e8d7c4fffadb493_1523778297.png
Eyes,Eyebrows,Amazonian clay waterproof brow pencil,Amazonian clay waterproof brow pencil,https://www.sephora.sg/products/tarte-amazonian-clay-waterproof-brow-pencil/v/default,tarte,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_846733001514-Tarte-Amazonian-clay-waterproof-brow-pencil-taupe-update_c6c40288bb8ee4b90333754c2473a4dad0d13adc_1652768041.png
Eyes,Eyebrows,Remarkable Brow Pencil,Remarkable Brow Pencil,https://www.sephora.sg/products/zoeva-remarkable-brow-pencil/v/default,ZOEVA,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_4250502821108-Zoeva-Remarkable-Brow-Pencil-Warm-Brown_b7cccc9ac9c87350260deb0e3ce1b80dadc826fd_1644225069.png
Eyes,Eyebrows,Brow Sword Naginata Eyebrow Pencil,Brow Sword Naginata Eyebrow Pencil,https://www.sephora.sg/products/shu-uemura-brow-sword-naginata-eyebrow-pencil/v/default,Shu Uemura,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_4935421787918-Shu-Uemura-Brow-Sword-Naginata-Eyebrow-Pencil-Acorn_ed8a5ebf2930c8920881e660b05a6d602e0fd98e_1651504660.png
Eyes,Eyebrows,Diorshow Crayons Sourcils Poudre Powder Eyebrow Pencil,Diorshow Crayons Sourcils Poudre Powder Eyebrow Pencil,https://www.sephora.sg/products/dior-diorshow-crayons-sourcils-poudre-powder-eyebrow-pencil/v/default,DIOR,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_3348901507981-DIOR-Diorshow-Crayons-Sourcils-Poudre-Powder-Eyebrow-Pencil-01-Blo_0f82bcb62a1f012f7b899c81855f21e7f23090b5_1608542880.png
Eyes,Eyebrows,"Super Pomade Vegan Eyeliner, Shadow & Brow Pigment","Super Pomade Vegan Eyeliner, Shadow and Brow Pigment",https://www.sephora.sg/products/kvd-beauty-super-pomade-vegan-eyeliner-shadow-and-brow-pigment/v/default,KVD Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_32813_KatVonDBeauty_24HourSuperBrowLongWearPomade_Blonde_WEB_e86ab59fefeb2f65d00d8cb70b9e59fd97c943d3_1523779293.png
Eyes,Eyebrows,Brow Harmony Shape & Fill Duo,Brow Harmony Shape and Fill Duo,https://www.sephora.sg/products/rare-beauty-brow-harmony-shape-and-fill-duo/v/default,Rare Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_840122903311-Rare-Beauty-Brow-Harmony-Shape-Fill-Duo-Taupe_7b9cc0ad21d7dc24effc45b1023ff1d354358c4e_1631685268.png
Eyes,Eyebrows,Diorshow Brow Styler,Diorshow Brow Styler,https://www.sephora.sg/products/dior-diorshow-brow-styler/v/default,DIOR,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_188063_20Dior_20Diorshow_20Brow_20Styler_20002_20Dark_20Brown_7dbe2831af0a38e8657e96723a303f3e0529cd95_1553097895.png
